rep,method,k,n_clusters_found,n_noise,silhouette,davies_bouldin,ARI_language,NMI_language,purity_language,ARI_language_dropNoise,NMI_language_dropNoise,purity_language_dropNoise,ARI_genre,NMI_genre,purity_genre,ARI_genre_dropNoise,NMI_genre_dropNoise,purity_genre_dropNoise
hybrid_alpha0.1_audio+lyrics,dbscan_eps0.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
hybrid_alpha0.1_audio+lyrics,dbscan_eps1,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
hybrid_alpha0.1_audio+lyrics,dbscan_eps1.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
hybrid_alpha0.03_audio+lyrics,kmeans,6.0,6,0,0.00896809808909893,2.5154695412751127,0.06552167309265101,0.18381834526082183,0.7931034482758621,0.06552167309265101,0.18381834526082183,0.7931034482758621,0.06277609858172518,0.22752155149478856,0.5517241379310345,0.06277609858172518,0.22752155149478856,0.5517241379310345
hybrid_alpha0.03_audio+lyrics,agglomerative_ward,6.0,6,0,0.015190432779490948,2.506130855448847,0.07781013395457193,0.19522772675661307,0.7931034482758621,0.07781013395457193,0.19522772675661307,0.7931034482758621,0.13090385998561496,0.3245264865521208,0.6206896551724138,0.13090385998561496,0.3245264865521208,0.6206896551724138
hybrid_alpha0.03_audio+lyrics,dbscan_eps0.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
hybrid_alpha0.03_audio+lyrics,dbscan_eps1,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
hybrid_alpha0.03_audio+lyrics,dbscan_eps1.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
hybrid_alpha0.01_audio+lyrics,kmeans,6.0,6,0,0.008968095295131207,2.515469522542821,0.06552167309265101,0.18381834526082183,0.7931034482758621,0.06552167309265101,0.18381834526082183,0.7931034482758621,0.06277609858172518,0.22752155149478856,0.5517241379310345,0.06277609858172518,0.22752155149478856,0.5517241379310345
hybrid_alpha0.01_audio+lyrics,agglomerative_ward,6.0,6,0,0.01519041508436203,2.5061308477299384,0.07781013395457193,0.19522772675661307,0.7931034482758621,0.07781013395457193,0.19522772675661307,0.7931034482758621,0.13090385998561496,0.3245264865521208,0.6206896551724138,0.13090385998561496,0.3245264865521208,0.6206896551724138
hybrid_alpha0.01_audio+lyrics,dbscan_eps0.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
hybrid_alpha0.01_audio+lyrics,dbscan_eps1,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
hybrid_alpha0.01_audio+lyrics,dbscan_eps1.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
